title,description,city,address,postal_code,start_date,content
"Forum métiers et formations : commerce, communication, marketing","Venez explorer les secteurs du commerce, communication et marketing !  
Vous vous demandez quel métier choisir ? Vous êtes attiré par le commerce, la communication ou le marketing, mais vous ne savez pas encore vers quelle formation vous diriger ? Cet événement du CIDJ est fait pour vous !  
Au programme :

*   rencontres avec des professionnels : échangez avec des experts du secteur, découvrez leur parcours et posez toutes vos questions sur leur quotidien ;
*   présentation des formations : lycées, écoles, universités, alternance, etc. On vous guide pour trouver la formation qui correspond à vos envies et à votre projet ;
*   conseils personnalisés : les conseillers du CIDJ vous aident à affiner votre projet professionnel et à identifier les compétences clés à développer ;

Que vous soyez au lycée, en études supérieures ou en reconversion, cet événement est l’occasion idéale pour explorer ces secteurs dynamiques et construire votre avenir professionnel.",Paris,4 place du Louvre Paris,75001,2026-03-18 09:00:00+00:00,"Evenement : Forum métiers et formations : commerce, communication, marketing. Lieu : 4 place du Louvre Paris, Paris. Date : 18/03/2026. Description : Venez explorer les secteurs du commerce, communication et marketing !  
Vous vous demandez quel métier choisir ? Vous êtes attiré par le commerce, la communication ou le marketing, mais vous ne savez pas encore vers quelle formation vous diriger ? Cet événement du CIDJ est fait pour vous !  
Au programme :

*   rencontres avec des professionnels : échangez avec des experts du secteur, découvrez leur parcours et posez toutes vos questions sur leur quotidien ;
*   présentation des formations : lycées, écoles, universités, alternance, etc. On vous guide pour trouver la formation qui correspond à vos envies et à votre projet ;
*   conseils personnalisés : les conseillers du CIDJ vous aident à affiner votre projet professionnel et à identifier les compétences clés à développer ;

Que vous soyez au lycée, en études supérieures ou en reconversion, cet événement est l’occasion idéale pour explorer ces secteurs dynamiques et construire votre avenir professionnel."
Atelier et marche exploratoire,"Après la Balade féministe et poétique d’avril 2025, nous poursuivons l’aventure collective avec une nouvelle marche exploratoire autour des femmes dans l’espace public, du lien au quartier et à la ville.  
Cette nouvelle édition a pour objectif de recueillir de nouveaux témoignages, portraits et récits de vie afin d’enrichir l’exposition participative qui sera présentée en mars 2026, à l’occasion du Mois de l’égalité.  
Avant la marche : un atelier de préparation (2h)  
Un temps de rencontre permettra de se familiariser avec les enjeux de la démarche : quelles questions explorer, quels lieux parcourir, comment collecter la parole des habitant·es et quelles thématiques approfondir. Ensemble, les participant·es définiront le trajet et la méthodologie de la marche.  
La marche exploratoire (2 à 3h – octobre 2025)  
Cette balade féministe et poétique propose d’arpenter le quartier en portant attention aux traces, aux symboles et aux vécus féminins dans l’espace urbain.  
Elle invitera à réfléchir à plusieurs questions :  
Comment les femmes sont-elles représentées dans la ville ?  
Comment vivent-elles et traversent-elles ces espaces ?  
Quels lieux inspirent sécurité, liberté ou au contraire, exclusion ?  
À travers les échanges, les observations et la collecte de paroles, cette marche vise à rendre visibles les expériences plurielles des femmes dans la ville et à nourrir une réflexion sur un urbanisme plus égalitaire, inclusif et poétique.  
Perspectives  
Les témoignages, photos et extraits recueillis viendront nourrir l’exposition collective présentée en mars 2026, dans le cadre du Mois de l’égalité, valorisant les voix, les regards et les récits des femmes du territoire.",Paris,1 rue gouthière,75013,2025-10-21 12:00:00+00:00,"Evenement : Atelier et marche exploratoire. Lieu : 1 rue gouthière, Paris. Date : 21/10/2025. Description : Après la Balade féministe et poétique d’avril 2025, nous poursuivons l’aventure collective avec une nouvelle marche exploratoire autour des femmes dans l’espace public, du lien au quartier et à la ville.  
Cette nouvelle édition a pour objectif de recueillir de nouveaux témoignages, portraits et récits de vie afin d’enrichir l’exposition participative qui sera présentée en mars 2026, à l’occasion du Mois de l’égalité.  
Avant la marche : un atelier de préparation (2h)  
Un temps de rencontre permettra de se familiariser avec les enjeux de la démarche : quelles questions explorer, quels lieux parcourir, comment collecter la parole des habitant·es et quelles thématiques approfondir. Ensemble, les participant·es définiront le trajet et la méthodologie de la marche.  
La marche exploratoire (2 à 3h – octobre 2025)  
Cette balade féministe et poétique propose d’arpenter le quartier en portant attention aux traces, aux symboles et aux vécus féminins dans l’espace urbain.  
Elle invitera à réfléchir à plusieurs questions :  
Comment les femmes sont-elles représentées dans la ville ?  
Comment vivent-elles et traversent-elles ces espaces ?  
Quels lieux inspirent sécurité, liberté ou au contraire, exclusion ?  
À travers les échanges, les observations et la collecte de paroles, cette marche vise à rendre visibles les expériences plurielles des femmes dans la ville et à nourrir une réflexion sur un urbanisme plus égalitaire, inclusif et poétique.  
Perspectives  
Les témoignages, photos et extraits recueillis viendront nourrir l’exposition collective présentée en mars 2026, dans le cadre du Mois de l’égalité, valorisant les voix, les regards et les récits des femmes du territoire."
Forum Bons Plans Étudiants,"Le Centre Paris Anim’ Interclub 17, en partenariat avec l'Annexe Loucheur et l’EPJ le 27, a le plaisir de vous inviter à son Forum Bons Plans Étudiants qui se tiendra le vendredi 10 octobre de 18h à 21h.

Cet événement est pensé pour accompagner les étudiantes et étudiants dans leur quotidien, en leur donnant accès à une multitude d’informations, de contacts et de ressources utiles. Tout au long de la soirée, plusieurs pôles seront présents pour répondre à vos questions et vous orienter :

\- Accès au droit : connaître vos droits et savoir à qui vous adresser.  
\- Logement : trouver des solutions adaptées à vos besoins.  
\- Emploi : découvrir des opportunités professionnelles et obtenir des conseils.  
\- Santé : se repérer dans les dispositifs existants et prendre soin de soi.  
\- Engagement : s’informer sur le bénévolat, le volontariat et l’engagement citoyen.  
\- Loisirs & culture : profiter des bons plans pour se divertir à moindre coût.  
\- Social : bénéficier d’un accompagnement selon vos situations.  
\- Distribution alimentaire : accéder à des aides pour alléger votre budget.

Ce forum est une véritable occasion de rencontrer des acteurs locaux, d’échanger avec des professionnel·les et de repartir avec des conseils pratiques pour mieux vivre votre vie étudiante.

Nous vous attendons nombreuses et nombreux pour partager ce moment convivial et enrichissant au Centre Paris Anim’ Interclub 17 !",Paris,47 rue de Saussure 75017 Paris,75017,2025-10-10 16:00:00+00:00,"Evenement : Forum Bons Plans Étudiants. Lieu : 47 rue de Saussure 75017 Paris, Paris. Date : 10/10/2025. Description : Le Centre Paris Anim’ Interclub 17, en partenariat avec l'Annexe Loucheur et l’EPJ le 27, a le plaisir de vous inviter à son Forum Bons Plans Étudiants qui se tiendra le vendredi 10 octobre de 18h à 21h.

Cet événement est pensé pour accompagner les étudiantes et étudiants dans leur quotidien, en leur donnant accès à une multitude d’informations, de contacts et de ressources utiles. Tout au long de la soirée, plusieurs pôles seront présents pour répondre à vos questions et vous orienter :

\- Accès au droit : connaître vos droits et savoir à qui vous adresser.  
\- Logement : trouver des solutions adaptées à vos besoins.  
\- Emploi : découvrir des opportunités professionnelles et obtenir des conseils.  
\- Santé : se repérer dans les dispositifs existants et prendre soin de soi.  
\- Engagement : s’informer sur le bénévolat, le volontariat et l’engagement citoyen.  
\- Loisirs & culture : profiter des bons plans pour se divertir à moindre coût.  
\- Social : bénéficier d’un accompagnement selon vos situations.  
\- Distribution alimentaire : accéder à des aides pour alléger votre budget.

Ce forum est une véritable occasion de rencontrer des acteurs locaux, d’échanger avec des professionnel·les et de repartir avec des conseils pratiques pour mieux vivre votre vie étudiante.

Nous vous attendons nombreuses et nombreux pour partager ce moment convivial et enrichissant au Centre Paris Anim’ Interclub 17 !"
Ateliers Coaching Emploi : trouver son alternance,Une coach Emploi et l'association Réussir Moi Aussi proposent 4 séances de coaching à l'EPJ Belleville pour maximiser ses chances de trouver son alternance.,Paris,"4 rue Louis Bonnet, Paris 75011",75011,2025-10-08 13:00:00+00:00,"Evenement : Ateliers Coaching Emploi : trouver son alternance. Lieu : 4 rue Louis Bonnet, Paris 75011, Paris. Date : 08/10/2025. Description : Une coach Emploi et l'association Réussir Moi Aussi proposent 4 séances de coaching à l'EPJ Belleville pour maximiser ses chances de trouver son alternance."
Mini-forum de l'entreprenariat,"Pour partager tes talents, rencontrer des jeunes entrepreneurs et passer à l'action !",Paris,"4 rue Louis Bonnet, Paris 75011",75011,2025-06-04 15:00:00+00:00,"Evenement : Mini-forum de l'entreprenariat. Lieu : 4 rue Louis Bonnet, Paris 75011, Paris. Date : 04/06/2025. Description : Pour partager tes talents, rencontrer des jeunes entrepreneurs et passer à l'action !"
PIJ Mobile à la Mission Locale,"Le Point Information Jeunesse Belleville t’accueille sans rendez-vous et de façon anonyme, avec ou sans idée précise, pour t’aider sur tout ce qui te concerne : emploi, orientation, vacances, logement, projets à l’international…  
Un lieu accueillant et à ton écoute, pour les 14-30 ans, maintenant aussi à la Mission Locale Paris Centre (29-31 rue des Boulets, 75011 Paris)",Paris,29-31 rue des Boulets,75011,2025-05-23 11:30:00+00:00,"Evenement : PIJ Mobile à la Mission Locale. Lieu : 29-31 rue des Boulets, Paris. Date : 23/05/2025. Description : Le Point Information Jeunesse Belleville t’accueille sans rendez-vous et de façon anonyme, avec ou sans idée précise, pour t’aider sur tout ce qui te concerne : emploi, orientation, vacances, logement, projets à l’international…  
Un lieu accueillant et à ton écoute, pour les 14-30 ans, maintenant aussi à la Mission Locale Paris Centre (29-31 rue des Boulets, 75011 Paris)"
Soirée Mobilité Internationale,"Une soirée à la découverte des nombreux dispositifs de mobilité internationale (Echanges de jeunes, Corps Européen de Solidarité, chantier international, service civique, mobilité d'études, stage, etc.)  
Une enquête mystérieuse pour trouver le dispositif qui vous correspond !",Paris,6 avenue Maurice Ravel 75012 Paris,75012,2025-05-21 16:30:00+00:00,"Evenement : Soirée Mobilité Internationale. Lieu : 6 avenue Maurice Ravel 75012 Paris, Paris. Date : 21/05/2025. Description : Une soirée à la découverte des nombreux dispositifs de mobilité internationale (Echanges de jeunes, Corps Européen de Solidarité, chantier international, service civique, mobilité d'études, stage, etc.)  
Une enquête mystérieuse pour trouver le dispositif qui vous correspond !"
Musique en famille,"🎶 En juin, les bébés fredonnent avant de parler, car la vie commence en chanson👶🎶
------------------------------------------------------------------------------------

### Pour les 0-3 ans… et leurs parents !

Venez partager un moment magique avec votre tout-petit !  
Au programme : instruments, comptines, découvertes sonores et beaucoup de tendresse.  
Un atelier tout en douceur, dans un cadre bienveillant et joyeux.

✨**Musique en famille chez @le8petion - Paris 11**  
Réservation : [https://izibaby.fr/atelier/paris-11e-eveil-musical-katia](https://izibaby.fr/atelier/paris-11e-eveil-musical-katia)  
Samedi 14 juin à 9h ou 10h ou 11h15  
Samedi 28 juin à 9h30 ou 10h30 ou 11h30

✨**Moments Musicaux chez @unairdefamille - Paris 10**  
Réservation : [https://izibaby.fr/atelier/paris-10e-eveil-musical-katia](https://izibaby.fr/atelier/paris-10e-eveil-musical-katia)  
Vendredi 27 juin à 10h  
Dimanche 22 juin à 16h ou 17h15

✨Interventions dans plusieurs crèches (Paris 11-15-18)  
✨Apprentissage des comptines au ukulélé (me contacter)  
✨ Formation « mettre en place des ateliers d’éveil » pour les pro de la petite enfance ou toutes personnes travaillant avec les enfants (me contacter)

À très vite de vous retrouver et/ou faire connaissance  
Prenez soin de vous  
Katia 🎶",Paris,8 rue Petion,75011,2025-06-28 09:30:00+00:00,"Evenement : Musique en famille. Lieu : 8 rue Petion, Paris. Date : 28/06/2025. Description : 🎶 En juin, les bébés fredonnent avant de parler, car la vie commence en chanson👶🎶
------------------------------------------------------------------------------------

### Pour les 0-3 ans… et leurs parents !

Venez partager un moment magique avec votre tout-petit !  
Au programme : instruments, comptines, découvertes sonores et beaucoup de tendresse.  
Un atelier tout en douceur, dans un cadre bienveillant et joyeux.

✨**Musique en famille chez @le8petion - Paris 11**  
Réservation : [https://izibaby.fr/atelier/paris-11e-eveil-musical-katia](https://izibaby.fr/atelier/paris-11e-eveil-musical-katia)  
Samedi 14 juin à 9h ou 10h ou 11h15  
Samedi 28 juin à 9h30 ou 10h30 ou 11h30

✨**Moments Musicaux chez @unairdefamille - Paris 10**  
Réservation : [https://izibaby.fr/atelier/paris-10e-eveil-musical-katia](https://izibaby.fr/atelier/paris-10e-eveil-musical-katia)  
Vendredi 27 juin à 10h  
Dimanche 22 juin à 16h ou 17h15

✨Interventions dans plusieurs crèches (Paris 11-15-18)  
✨Apprentissage des comptines au ukulélé (me contacter)  
✨ Formation « mettre en place des ateliers d’éveil » pour les pro de la petite enfance ou toutes personnes travaillant avec les enfants (me contacter)

À très vite de vous retrouver et/ou faire connaissance  
Prenez soin de vous  
Katia 🎶"
Stage - Techniques du chanteur-interprète,"**Stage - Techniques du chanteur-interprète**  
Un stage de 10 semaines pour travailler la voix, la scène et la musicalité. Axé sur la pratique et l'expérimentation, ce parcours favorise l'autonomie du chanteur à travers des mises en situation concrètes, des échanges de pratiques et un accompagnement régulier par un·e musicien·ne.",Paris,124 avenue de la république 75011 paris,75011,2026-03-24 08:30:00+00:00,"Evenement : Stage - Techniques du chanteur-interprète. Lieu : 124 avenue de la république 75011 paris, Paris. Date : 24/03/2026. Description : **Stage - Techniques du chanteur-interprète**  
Un stage de 10 semaines pour travailler la voix, la scène et la musicalité. Axé sur la pratique et l'expérimentation, ce parcours favorise l'autonomie du chanteur à travers des mises en situation concrètes, des échanges de pratiques et un accompagnement régulier par un·e musicien·ne."
"Exposition « Couleurs de Corée, Lumière sur l’art contemporain coréen »","La couleur traverse tous les aspects de la vie et se charge, selon les cultures, de significations multiples. En Corée, cinq couleurs fondamentales – le blanc, le noir, le rouge, le jaune et le bleu – sont associées aux cinq éléments et au principe du yin et du yang, incarnant une esthétique singulière profondément ancrée dans l’histoire et la culture. Dans l’art, traditionnel comme contemporain, la couleur n’est pas seulement une préoccupation formelle : elle agit comme vecteur de sens, reliant les œuvres à un imaginaire collectif, à des symboliques anciennes et à une diversité de lectures culturelles.

L’exposition « Couleurs de Corée, Lumière sur l’art contemporain coréen », présentée au Centre Culturel Coréen à l’occasion du 140ᵉ anniversaire des relations diplomatiques entre la France et la Corée, propose un dialogue entre tradition et création contemporaine en réunissant des œuvres aux proximités formelles. À travers les réalisations de 34 artistes – de grands maîtres aux jeunes talents – couvrant un large spectre de pratiques, de la peinture à la sculpture, de la photographie à l’installation, jusqu’à l’art numérique, l’exposition met à l’honneur les couleurs de la Corée et invite à contempler des œuvres à l’aune de critères durables et intemporels, offrant ainsi un regard renouvelé sur les enjeux de notre époque et sur les perspectives de demain.

Parmi les figures majeures présentées figurent LEE Ungno, KIM Tschang-Yeul, PARK Seo-Bo, HA Chong-Hyun, et bien d’autres, qui ont marqué l’histoire de l’art par la force et la singularité de leur esthétique. À leurs côtés, des artistes contemporains en pleine effervescence – tels que Yeesookyung, KIM Yunchul, Anicka YI, Jin MEYERSON – contribuent à enrichir la scène artistique avec des œuvres aux couleurs vibrantes.

Au croisement des générations et des médiums, l’exposition « Couleurs de Corée » invite à percevoir la couleur comme un langage universel, capable de transmettre la mémoire d’une culture tout en éclairant les réalités d’aujourd’hui et les contours de notre avenir.

Cette exposition se déroule dans le cadre de Némo – Biennale internationale des arts numériques de la Région Île-de-France, produite par le CENTQUATRE-PARIS, du 11 octobre 2025 au 11 janvier 2026 dans 24 lieux en Île-de-France.",Paris,"20 Rue La Boétie, 75008 Paris",75008,2026-03-28 13:00:00+00:00,"Evenement : Exposition « Couleurs de Corée, Lumière sur l’art contemporain coréen ». Lieu : 20 Rue La Boétie, 75008 Paris, Paris. Date : 28/03/2026. Description : La couleur traverse tous les aspects de la vie et se charge, selon les cultures, de significations multiples. En Corée, cinq couleurs fondamentales – le blanc, le noir, le rouge, le jaune et le bleu – sont associées aux cinq éléments et au principe du yin et du yang, incarnant une esthétique singulière profondément ancrée dans l’histoire et la culture. Dans l’art, traditionnel comme contemporain, la couleur n’est pas seulement une préoccupation formelle : elle agit comme vecteur de sens, reliant les œuvres à un imaginaire collectif, à des symboliques anciennes et à une diversité de lectures culturelles.

L’exposition « Couleurs de Corée, Lumière sur l’art contemporain coréen », présentée au Centre Culturel Coréen à l’occasion du 140ᵉ anniversaire des relations diplomatiques entre la France et la Corée, propose un dialogue entre tradition et création contemporaine en réunissant des œuvres aux proximités formelles. À travers les réalisations de 34 artistes – de grands maîtres aux jeunes talents – couvrant un large spectre de pratiques, de la peinture à la sculpture, de la photographie à l’installation, jusqu’à l’art numérique, l’exposition met à l’honneur les couleurs de la Corée et invite à contempler des œuvres à l’aune de critères durables et intemporels, offrant ainsi un regard renouvelé sur les enjeux de notre époque et sur les perspectives de demain.

Parmi les figures majeures présentées figurent LEE Ungno, KIM Tschang-Yeul, PARK Seo-Bo, HA Chong-Hyun, et bien d’autres, qui ont marqué l’histoire de l’art par la force et la singularité de leur esthétique. À leurs côtés, des artistes contemporains en pleine effervescence – tels que Yeesookyung, KIM Yunchul, Anicka YI, Jin MEYERSON – contribuent à enrichir la scène artistique avec des œuvres aux couleurs vibrantes.

Au croisement des générations et des médiums, l’exposition « Couleurs de Corée » invite à percevoir la couleur comme un langage universel, capable de transmettre la mémoire d’une culture tout en éclairant les réalités d’aujourd’hui et les contours de notre avenir.

Cette exposition se déroule dans le cadre de Némo – Biennale internationale des arts numériques de la Région Île-de-France, produite par le CENTQUATRE-PARIS, du 11 octobre 2025 au 11 janvier 2026 dans 24 lieux en Île-de-France."
